mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
73b693ce4dd408e6a9f2812a8b7aaa9b9d205c7a,false,[],1b38e92ae7056e60631f6c777d99db1e8d2a60d1,[.style.yapf@ contrib/readme.rst],20ce7aa5c590ca37f76a8920f2818f6f80313dab,[.flake8@ .isort.cfg@ readthedocs/projects/version_handling.py@ readthedocs/restapi/utils.py@ readthedocs/restapi/views/footer_views.py@ readthedocs/rtd_tests/tests/test_footer.py@ readthedocs/rtd_tests/tests/test_sync_versions.py@ requirements/testing.txt],cd9802ef2a4d478d9ccb7696b5a99d33b297767b,0
dbf6898962dda2c66a9c1d2c1724f72191c23178,false,[],ebf9a40c5bec4f427b526ee3f6eed0a69b8a603a,[.flake8@ .isort.cfg@ .pep8@ .pre-commit-config.yaml@ .style.yapf@ bower.json@ contrib/supervisord.conf@ docs/contribute.rst@ prospector.yml@ readthedocs/builds/urls.py@ readthedocs/core/management/commands/update_repos.py@ readthedocs/core/models.py@ readthedocs/core/views/__init__.py@ readthedocs/doc_builder/environments.py@ readthedocs/projects/management/commands/import_project_from_live.py@ readthedocs/projects/models.py@ readthedocs/projects/tasks.py@ readthedocs/projects/views/base.py@ readthedocs/rtd_tests/tests/test_privacy.py@ readthedocs/templates/builds/build_list.html@ readthedocs/templates/core/project_details.html@ requirements/pip.txt],75ba66a68d216546097520da6ff7b3a25be24caf,[docs/ethical-advertising.rst@ media/css/readthedocs-doc-embed.css@ readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/font/Inconsolata-Bold.ttf@ readthedocs/core/static/core/font/Inconsolata-Regular.ttf@ readthedocs/core/static/core/js/readthedocs-doc-embed.js],3e1651e9eed9d93986fb493066da2908c6c7c429,0
a7f54257c1185d281b23b39841c9c774ec9cd41d,true,[readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/js/readthedocs-doc-embed.js],e90d63c1e73c577ba264676b4076b3d17dca423f,[docs/ethical-advertising.rst@ media/css/readthedocs-doc-embed.css@ readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/font/Inconsolata-Bold.ttf@ readthedocs/core/static/core/font/Inconsolata-Regular.ttf@ readthedocs/core/static/core/js/readthedocs-doc-embed.js],3e1651e9eed9d93986fb493066da2908c6c7c429,[.gitignore@ contrib/readme.rst@ contrib/supervisord.conf@ docs/team.rst@ media/css/readthedocs-doc-embed.css@ readthedocs/core/static-src/core/js/doc-embed/constants.js@ readthedocs/core/static-src/core/js/doc-embed/footer.js@ readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/js/readthedocs-doc-embed.js@ readthedocs/doc_builder/environments.py@ readthedocs/oauth/services/base.py@ readthedocs/oauth/services/bitbucket.py@ readthedocs/oauth/services/github.py@ readthedocs/projects/tasks.py@ requirements/pip.txt],7cbda6a9b318dc182cd304332a3045a1c53a4aef,2
e90d63c1e73c577ba264676b4076b3d17dca423f,false,[],d52c693edc1c4737877225085465ec6ca1ae2e8f,[docs/ethical-advertising.rst@ media/css/readthedocs-doc-embed.css@ readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/font/Inconsolata-Bold.ttf@ readthedocs/core/static/core/font/Inconsolata-Regular.ttf@ readthedocs/core/static/core/js/readthedocs-doc-embed.js],7cbda6a9b318dc182cd304332a3045a1c53a4aef,[readthedocs/builds/views.py@ readthedocs/core/adapters.py@ readthedocs/doc_builder/environments.py@ readthedocs/doc_builder/python_environments.py@ readthedocs/oauth/__init__.py@ readthedocs/oauth/apps.py@ readthedocs/oauth/tasks.py@ readthedocs/projects/tasks.py@ readthedocs/projects/views/public.py@ readthedocs/restapi/client.py@ readthedocs/restapi/views/task_views.py@ readthedocs/rtd_tests/tests/test_celery.py@ readthedocs/settings/base.py@ readthedocs/settings/dev.py@ readthedocs/templates/builds/build_list.html@ readthedocs/templates/core/project_details.html@ readthedocs/templates/projects/onboard_detail.html@ requirements/testing.txt],c7e4f538b4364964d1b694820e38de3b973a26a3,0
7cbda6a9b318dc182cd304332a3045a1c53a4aef,false,[],9e69d76394b605d0798d6580c8ac589165d998f2,[readthedocs/builds/views.py@ readthedocs/doc_builder/python_environments.py@ readthedocs/oauth/__init__.py@ readthedocs/oauth/apps.py@ readthedocs/oauth/tasks.py@ readthedocs/projects/views/public.py@ readthedocs/restapi/views/task_views.py@ readthedocs/templates/builds/build_list.html@ readthedocs/templates/core/project_details.html@ readthedocs/templates/projects/onboard_detail.html],fc0dbf226b004b7fdc995ab6d2fd8ad56cc1c521,[readthedocs/doc_builder/environments.py@ readthedocs/projects/tasks.py],1e55dfffc854a2158a239abc97fe93f0404a5fa3,0
9e69d76394b605d0798d6580c8ac589165d998f2,false,[],8f9a41947b4ff8d1a695cac64057b38a242040c3,[.gitignore@ LICENSE@ LICENSE.mit@ MANIFEST.in@ README.rst@ docs/contribute.rst@ docs/development/standards.rst@ docs/dmca/index.rst@ docs/ethical-advertising.rst@ docs/faq.rst@ docs/guides/adding-custom-css.rst@ docs/index.rst@ gulpfile.js@ media/css/core.css@ package.json@ pytest.ini@ readthedocs/__init__.py@ readthedocs/builds/admin.py@ readthedocs/builds/migrations/0003_add-cold-storage.py@ readthedocs/builds/migrations/0004_add-apiversion-proxy-model.py@ readthedocs/builds/models.py@ readthedocs/builds/syncers.py@ readthedocs/builds/views.py@ readthedocs/core/adapters.py@ readthedocs/core/admin.py@ readthedocs/core/forms.py@ readthedocs/core/management/commands/reindex_elasticsearch.py@ readthedocs/core/management/commands/set_metadata.py@ readthedocs/core/management/commands/update_api.py@ readthedocs/core/management/commands/update_repos.py@ readthedocs/core/management/commands/update_versions.py@ readthedocs/core/signals.py@ readthedocs/core/static-src/core/js/sponsorship.js@ readthedocs/core/static/core/js/readthedocs-doc-embed.js@ readthedocs/core/tasks.py@ readthedocs/core/utils/__init__.py@ readthedocs/core/utils/tasks/retrieve.py@ readthedocs/core/views/hooks.py@ readthedocs/doc_builder/backends/sphinx.py@ readthedocs/doc_builder/environments.py@ readthedocs/doc_builder/python_environments.py@ readthedocs/doc_builder/signals.py@ readthedocs/doc_builder/templates/doc_builder/conf.py.tmpl@ readthedocs/donate/__init__.py@ readthedocs/donate/admin.py@ readthedocs/donate/apps.py@ readthedocs/donate/constants.py@ readthedocs/donate/forms.py@ readthedocs/donate/migrations/0001_initial.py@ readthedocs/donate/migrations/0002_dollar-drop-choices.py@ readthedocs/donate/migrations/0003_add-impressions.py@ readthedocs/donate/migrations/0004_rebase-impressions-on-base.py@ readthedocs/donate/migrations/0005_add-geo-filters.py@ readthedocs/donate/migrations/0006_add-geo-data.py@ readthedocs/donate/migrations/0007_add-impression-totals.py@ readthedocs/donate/migrations/0008_add-programming-language-filter.py@ readthedocs/donate/migrations/0009_add-error-to-promos.py@ readthedocs/donate/migrations/0010_add-sold-clicks.py@ readthedocs/donate/migrations/0011_add-theme-filter.py@ readthedocs/donate/migrations/0012_add-community-ads.py@ readthedocs/donate/migrations/__init__.py@ readthedocs/donate/mixins.py@ readthedocs/donate/models.py@ readthedocs/donate/signals.py@ readthedocs/donate/static-src/donate/js/donate.js@ readthedocs/donate/static/donate/css/donate.css@ readthedocs/donate/static/donate/img/creditcard.png@ readthedocs/donate/static/donate/js/donate.js@ readthedocs/donate/templates/donate/create.html@ readthedocs/donate/templates/donate/ethicalads-success.html@ readthedocs/donate/templates/donate/ethicalads.html@ readthedocs/donate/templates/donate/list.html@ readthedocs/donate/templates/donate/progress.html@ readthedocs/donate/templates/donate/promo_404.html@ readthedocs/donate/templates/donate/promo_500.html@ readthedocs/donate/templates/donate/promo_detail.html@ readthedocs/donate/templates/donate/success.html@ readthedocs/donate/tests.py@ readthedocs/donate/urls.py@ readthedocs/donate/utils.py@ readthedocs/donate/views.py@ readthedocs/oauth/__init__.py@ readthedocs/oauth/apps.py@ readthedocs/oauth/services/github.py@ readthedocs/oauth/tasks.py@ readthedocs/profiles/urls/private.py@ readthedocs/profiles/views.py@ readthedocs/projects/__init__.py@ readthedocs/projects/admin.py@ readthedocs/projects/apps.py@ readthedocs/projects/forms.py@ readthedocs/projects/migrations/0019_add-features.py@ readthedocs/projects/migrations/0020_add-api-project-proxy.py@ readthedocs/projects/migrations/0021_add-webhook-deprecation-feature.py@ readthedocs/projects/models.py@ readthedocs/projects/querysets.py@ readthedocs/projects/tasks.py@ readthedocs/projects/utils.py@ readthedocs/projects/views/public.py@ readthedocs/restapi/client.py@ readthedocs/restapi/serializers.py@ readthedocs/restapi/utils.py@ readthedocs/restapi/views/model_views.py@ readthedocs/restapi/views/task_views.py@ readthedocs/rtd_tests/mocks/mock_api.py@ readthedocs/rtd_tests/tests/projects/__init__.py@ readthedocs/rtd_tests/tests/projects/test_admin_actions.py@ readthedocs/rtd_tests/tests/test_api.py@ readthedocs/rtd_tests/tests/test_builds.py@ readthedocs/rtd_tests/tests/test_celery.py@ readthedocs/rtd_tests/tests/test_config_wrapper.py@ readthedocs/rtd_tests/tests/test_core_utils.py@ readthedocs/rtd_tests/tests/test_middleware.py@ readthedocs/rtd_tests/tests/test_post_commit_hooks.py@ readthedocs/rtd_tests/tests/test_privacy_urls.py@ readthedocs/rtd_tests/tests/test_project_querysets.py@ readthedocs/search/parse_json.py@ readthedocs/search/utils.py@ readthedocs/settings/base.py@ readthedocs/settings/dev.py@ readthedocs/templates/base.html@ readthedocs/templates/builds/build_list.html@ readthedocs/templates/core/header.html@ readthedocs/templates/core/project_details.html@ readthedocs/templates/homepage.html@ readthedocs/templates/profiles/base_profile_edit.html@ readthedocs/templates/profiles/private/delete_account.html@ readthedocs/templates/projects/integration_list.html@ readthedocs/templates/projects/onboard_detail.html@ readthedocs/urls.py@ readthedocs/vcs_support/base.py@ readthedocs/vcs_support/test.py@ readthedocs/vcs_support/tests.py@ readthedocs/vcs_support/utils.py@ readthedocs/worker.py@ requirements/pip.txt@ requirements/testing.txt@ setup.py],03f71653117445495ae311835627f024000c9399,[readthedocs/doc_builder/python_environments.py],ec23bc9c9d0eef0821a165d11a3ce75f1f39d59c,0
d6bc7eace6c1983bb7275b102f0ca00a48ec2487,false,[],4a3fbee04140cef28afb432f3a9a1403edeb2e43,[.gitignore@ gulpfile.js@ package.json@ readthedocs/core/static/core/js/readthedocs-doc-embed.js@ readthedocs/templates/homepage.html],57663ede0589767a34c1f0b1198c954bbf4940cc,[docs/ethical-advertising.rst],b1b545b55f4fed825fde80841b4700515f4150c1,0
f4829656896ed8d6e5663f61516d268055dafe80,false,[],f68b28596d9be19172f99e6029893977ec1f3d83,[readthedocs/core/static-src/core/js/sponsorship.js],1cf0ceef505fdcd8c2e57f511722c833f5f406de,[readthedocs/templates/base.html],fbe860ff3d64eef54fd4e193b1a233a6e09096e9,0
c7d7360953f49c0d89f13474e9b0f75f5ec640eb,false,[],60f5d79a6d37f08fa7dd679b95d4d5ced91f480b,[media/css/core.css@ readthedocs/core/forms.py@ readthedocs/core/signals.py@ readthedocs/donate/templates/donate/list.html@ readthedocs/profiles/urls/private.py@ readthedocs/profiles/views.py@ readthedocs/rtd_tests/tests/test_middleware.py@ readthedocs/templates/base.html@ readthedocs/templates/profiles/base_profile_edit.html@ readthedocs/templates/profiles/private/delete_account.html],c2616840558a96257d5c002ca51637511db6a4ed,[readthedocs/doc_builder/environments.py@ readthedocs/projects/models.py@ readthedocs/projects/tasks.py@ readthedocs/restapi/serializers.py@ readthedocs/restapi/utils.py@ readthedocs/restapi/views/model_views.py@ readthedocs/rtd_tests/mocks/mock_api.py@ readthedocs/rtd_tests/tests/test_api.py@ readthedocs/rtd_tests/tests/test_builds.py@ readthedocs/rtd_tests/tests/test_config_wrapper.py@ readthedocs/settings/dev.py@ readthedocs/vcs_support/base.py],4dc24e8982d7e772001c23d345f8234eee89bf6f,0
60f5d79a6d37f08fa7dd679b95d4d5ced91f480b,false,[],d12a3e687b77a356cbf2401af75a15302c84d41a,[readthedocs/donate/templates/donate/list.html],f90bbda1ed20d0b37440603fa2dcc6d0439d37ef,[readthedocs/core/forms.py@ readthedocs/profiles/urls/private.py@ readthedocs/profiles/views.py@ readthedocs/templates/profiles/base_profile_edit.html@ readthedocs/templates/profiles/private/delete_account.html],0cb36c6d1d89edaf550bf378c8bc4447b30dd103,0
4dc24e8982d7e772001c23d345f8234eee89bf6f,false,[],ad298009b4528e0776b1f16545c2bee3d78e09e2,[readthedocs/builds/migrations/0003_add-cold-storage.py@ readthedocs/builds/models.py@ readthedocs/projects/models.py@ readthedocs/projects/tasks.py@ readthedocs/templates/base.html],b64a864294266842cf8c708bff8ff6fda0e315b9,[readthedocs/templates/core/header.html],59229088f75203ac1a3077a7e49ae49f88b35ac0,0
ad298009b4528e0776b1f16545c2bee3d78e09e2,false,[],5b32734f0a0d080429bede154b150f61cc7423bc,[readthedocs/builds/admin.py@ readthedocs/builds/migrations/0003_add-cold-storage.py@ readthedocs/builds/models.py@ readthedocs/restapi/views/model_views.py@ readthedocs/templates/base.html],78d5948b12c86e78cbbd096bdec0167165c72140,[readthedocs/projects/models.py@ readthedocs/projects/tasks.py],60d2609c85c3981a123ccc74c797e006a6c60318,0
9ed77655516bdb742541dc3ce5bb677a00118e90,false,[],59229088f75203ac1a3077a7e49ae49f88b35ac0,[README.rst@ docs/dmca/index.rst@ readthedocs/builds/admin.py@ readthedocs/builds/migrations/0003_add-cold-storage.py@ readthedocs/builds/models.py@ readthedocs/core/admin.py@ readthedocs/core/views/hooks.py@ readthedocs/doc_builder/backends/sphinx.py@ readthedocs/doc_builder/signals.py@ readthedocs/doc_builder/templates/doc_builder/conf.py.tmpl@ readthedocs/projects/admin.py@ readthedocs/projects/tasks.py@ readthedocs/restapi/views/model_views.py@ readthedocs/rtd_tests/tests/projects/__init__.py@ readthedocs/rtd_tests/tests/projects/test_admin_actions.py@ readthedocs/settings/base.py@ readthedocs/settings/dev.py@ readthedocs/templates/projects/integration_list.html],7895f4f4e75b186c2673c89e9bf00369a3b1924c,[readthedocs/templates/base.html],cb22c21bd4993a03937e40d738cb97b4490232a3,0
59229088f75203ac1a3077a7e49ae49f88b35ac0,false,[],60d2609c85c3981a123ccc74c797e006a6c60318,[LICENSE@ LICENSE.mit@ MANIFEST.in@ README.rst@ docs/dmca/index.rst@ package.json@ pytest.ini@ readthedocs/core/admin.py@ readthedocs/core/views/hooks.py@ readthedocs/doc_builder/backends/sphinx.py@ readthedocs/doc_builder/signals.py@ readthedocs/doc_builder/templates/doc_builder/conf.py.tmpl@ readthedocs/donate/tests.py@ readthedocs/projects/admin.py@ readthedocs/projects/tasks.py@ readthedocs/restapi/views/model_views.py@ readthedocs/rtd_tests/tests/projects/__init__.py@ readthedocs/rtd_tests/tests/projects/test_admin_actions.py@ readthedocs/settings/base.py@ readthedocs/settings/dev.py@ readthedocs/templates/projects/integration_list.html@ setup.py],8432aca7c3b310de44a7b3d525d12b35e1d71884,[readthedocs/builds/admin.py@ readthedocs/builds/migrations/0003_add-cold-storage.py@ readthedocs/builds/models.py@ readthedocs/restapi/views/model_views.py],6971cdf420eb091e1991b14643401d317ac293f0,0
2f6b36d0a5f38ea3cf5d8998520ac095798f9b1c,false,[],0879e8235639b1a3ee7ec159c0a3098d4c10eed8,[README.rst@ pytest.ini@ readthedocs/donate/tests.py@ readthedocs/settings/base.py@ readthedocs/settings/dev.py],0a3384b7add5c3c6944f2ae5ba3128cbf5532beb,[readthedocs/core/views/hooks.py@ readthedocs/templates/projects/integration_list.html],85bb2ba8d282ee54a62869ef246e018a71c490b5,0
0879e8235639b1a3ee7ec159c0a3098d4c10eed8,false,[],fa40b4763abd9300042880e384583c556196590f,[README.rst@ readthedocs/settings/dev.py],bb73d5729220270f7189731af060eb104b708aa1,[readthedocs/settings/base.py],cb22c21bd4993a03937e40d738cb97b4490232a3,0
fa40b4763abd9300042880e384583c556196590f,false,[],bda01fafd3b3b263fb664e9030a7e61e627c31dc,[README.rst],60dba02b8aefaaaf7adcc6204a24966fa0bac073,[readthedocs/settings/dev.py],cb22c21bd4993a03937e40d738cb97b4490232a3,0
cb22c21bd4993a03937e40d738cb97b4490232a3,false,[],85bb2ba8d282ee54a62869ef246e018a71c490b5,[LICENSE@ LICENSE.mit@ MANIFEST.in@ README.rst@ package.json@ readthedocs/donate/views.py@ setup.py],0198a4ffba51aef3f6337b9cc64144034603eb5d,[pytest.ini@ readthedocs/donate/tests.py],ec23bc9c9d0eef0821a165d11a3ce75f1f39d59c,0
85bb2ba8d282ee54a62869ef246e018a71c490b5,false,[],6971cdf420eb091e1991b14643401d317ac293f0,[readthedocs/donate/views.py],746b6817b0873cdeb40b4e88b6071d52ceeb2e72,[LICENSE@ LICENSE.mit@ MANIFEST.in@ README.rst@ package.json@ setup.py],ec23bc9c9d0eef0821a165d11a3ce75f1f39d59c,0
ec23bc9c9d0eef0821a165d11a3ce75f1f39d59c,false,[],3d825077dbfb047e3a8cd83f7933f831a38f96dd,[.gitattributes],46fa1e06980a1eb4fb27afc97ecd93090f79207c,[requirements/pip.txt],625e145eee05ba590bd7166d80aa7a4bcfdb00d2,0
625e145eee05ba590bd7166d80aa7a4bcfdb00d2,false,[],4576d4855409fb9159da18d5a9b5f180daea5df8,[docs/subprojects.rst@ readthedocs/api/base.py@ readthedocs/comments/admin.py],2b1fd2b436abf7e1269a4561a0d356f72182574b,[docs/ethical-advertising.rst],9dca52396dfc45980c949aa7a32d2774d5e1b1da,0
